id,name,n_box,n_voter
1,ADANA,4773,1613334
2,ADIYAMAN,1452,399303
3,AFYONKARAHİSAR,1880,536163
4,AĞRI,1204,306684
5,AMASYA,970,256644
6,ANKARA,12250,4282718
7,ANTALYA,5580,1905525
8,ARTVİN,636,132280
9,AYDIN,2717,876784
10,BALIKESİR,3316,989570
11,BİLECİK,670,167050
12,BİNGÖL,713,193535
13,BİTLİS,864,220659
14,BOLU,1007,235979
15,BURDUR,716,204237
16,BURSA,6865,2366370
17,ÇANAKKALE,1591,436013
18,ÇANKIRI,701,141860
19,ÇORUM,1698,398565
20,DENİZLİ,2459,794714
21,DİYARBAKIR,3673,1144533
22,EDİRNE,1020,319783
23,ELAZIĞ,1631,430745
24,ERZİNCAN,968,169638
25,ERZURUM,2236,509702
26,ESKİŞEHİR,2191,688989
27,GAZİANTEP,4064,1359367
28,GİRESUN,1342,349276
29,GÜMÜŞHANE,567,96519
30,HAKKARİ,590,186234
31,HATAY,3152,1062519
32,ISPARTA,1083,328186
33,MERSİN,4123,1378750
34,İSTANBUL,30802,11358083
35,İZMİR,9877,3442424
36,KARS,722,185088
37,KASTAMONU,1654,295443
38,KAYSERİ,3170,1026271
39,KIRKLARELİ,916,291596
40,KIRŞEHİR,683,173939
41,KOCAELİ,4317,1515277
42,KONYA,4992,1629257
43,KÜTAHYA,1605,430283
44,MALATYA,1900,531110
45,MANİSA,3573,1106359
46,KAHRAMANMARAŞ,2405,753538
47,MARDİN,1844,541762
48,MUĞLA,2435,805757
49,MUŞ,860,242569
50,NEVŞEHİR,748,225360
51,NİĞDE,820,258102
52,ORDU,2092,590574
53,RİZE,1004,265192
54,SAKARYA,2444,783923
55,SAMSUN,3417,1024017
56,SİİRT,745,201853
57,SİNOP,792,171746
58,SİVAS,2331,460513
59,TEKİRDAĞ,2487,857570
60,TOKAT,1709,439663
61,TRABZON,2156,611966
62,TUNCELİ,336,65571
63,ŞANLIURFA,4082,1219859
64,UŞAK,927,280452
65,VAN,2294,706611
66,YOZGAT,1295,299951
67,ZONGULDAK,1536,457651
68,AKSARAY,970,296279
69,BAYBURT,290,57134
70,KARAMAN,666,187900
71,KIRIKKALE,717,203007
72,BATMAN,1299,399560
73,ŞIRNAK,1024,324179
74,BARTIN,575,156043
75,ARDAHAN,338,68061
76,IĞDIR,473,133812
77,YALOVA,588,204816
78,KARABÜK,726,181914
79,KİLİS,393,96956
80,OSMANİYE,1170,386135
81,DÜZCE,984,294391
0,YURT DIŞI,0,0